N.;Direccion;Proyecto;Localidad
75;AK 14 24 06 AP 302;ESTACIÓN CENTRAL;ESTACION CENTRAL
76;CL 24A 13A 07 AP 201;ESTACIÓN CENTRAL;ESTACION CENTRAL
77;AK 14 24B 06;ESTACIÓN CENTRAL;ESTACION CENTRAL
78;CL 24A 13A 14 AP 302;ESTACIÓN CENTRAL;ESTACION CENTRAL
79;CL 24 13A 54;ESTACIÓN CENTRAL;ESTACION CENTRAL
80;CL 24A 13A 07 AP 102;ESTACIÓN CENTRAL;ESTACION CENTRAL
81;CL 24 13A 16;ESTACIÓN CENTRAL;ESTACION CENTRAL
82;CL 24A 13A 14 AP 502;ESTACIÓN CENTRAL;ESTACION CENTRAL
83;CL 24A 13A 07 AP 401;ESTACIÓN CENTRAL;ESTACION CENTRAL
84;KR 13A 25 09 LC 2;ESTACIÓN CENTRAL;ESTACION CENTRAL
85;AK 14 24 06 AP 301;ESTACIÓN CENTRAL;ESTACION CENTRAL
86;KR 13A 25 09 LC 1;ESTACIÓN CENTRAL;ESTACION CENTRAL
87;KR 13A 25 09 AP 101;ESTACIÓN CENTRAL;ESTACION CENTRAL
88;CL 24B 13A 43;ESTACIÓN CENTRAL;ESTACION CENTRAL
89;CL 24B 13A 36;ESTACIÓN CENTRAL;ESTACION CENTRAL
90;CL 24A 13A 41 AP 202;ESTACIÓN CENTRAL;ESTACION CENTRAL
91;CL 24B 13A 26;ESTACIÓN CENTRAL;ESTACION CENTRAL
92;CL 24B 13A 77;ESTACIÓN CENTRAL;ESTACION CENTRAL
93;CL 24A 13A 66;ESTACIÓN CENTRAL;ESTACION CENTRAL
94;CL 24A 13A 82;ESTACIÓN CENTRAL;ESTACION CENTRAL
95;CL 24B 13A 22;ESTACIÓN CENTRAL;ESTACION CENTRAL
96;CL 24A 13A 14 LC;ESTACIÓN CENTRAL;ESTACION CENTRAL
97;CL 24B 13A 83;ESTACIÓN CENTRAL;ESTACION CENTRAL
98;CL 24A 13A 17 AP 101;ESTACIÓN CENTRAL;ESTACION CENTRAL
99;CL 24B 13A 63;ESTACIÓN CENTRAL;ESTACION CENTRAL
100;CL 24A 13A 41 AP 302;ESTACIÓN CENTRAL;ESTACION CENTRAL
101;CL 24B 13A 51;ESTACIÓN CENTRAL;ESTACION CENTRAL
102;CL 24A 13A 41 AP 201;ESTACIÓN CENTRAL;ESTACION CENTRAL
103;CL 24B 13A 18;ESTACIÓN CENTRAL;ESTACION CENTRAL
104;CL 24A 13A 17 AP 402;ESTACIÓN CENTRAL;ESTACION CENTRAL
105;CL 24A 13A 04;ESTACIÓN CENTRAL;ESTACION CENTRAL
106;AK 14 24 02 LC 3;ESTACIÓN CENTRAL;ESTACION CENTRAL
107;AK 14 24 06 AP 401;ESTACIÓN CENTRAL;ESTACION CENTRAL
108;AK 14 24 06 AP 402;ESTACIÓN CENTRAL;ESTACION CENTRAL
109;AK 14 24 06 AP 501;ESTACIÓN CENTRAL;ESTACION CENTRAL
110;AK 14 24 06 AP 502;ESTACIÓN CENTRAL;ESTACION CENTRAL
111;KR 13A 25 09 AP 301;ESTACIÓN CENTRAL;ESTACION CENTRAL
