N.;Direccion;Proyecto;Localidad
385;KR 11B 3 93;SAN BERNARDO;SAN BERNARDO
386;KR 11B 3 17;SAN BERNARDO;SAN BERNARDO
387;CL 3 11A 08;SAN BERNARDO;SAN BERNARDO
388;KR 11A 4A 07;SAN BERNARDO;SAN BERNARDO
389;KR 11B 3 48;SAN BERNARDO;SAN BERNARDO
390;KR 11 3 52;SAN BERNARDO;SAN BERNARDO
391;CL 5 12 40;SAN BERNARDO;SAN BERNARDO
392;KR 11A 3 94;SAN BERNARDO;SAN BERNARDO
393;KR 11 3 59;SAN BERNARDO;SAN BERNARDO
394;CL 3 11A 28;SAN BERNARDO;SAN BERNARDO
395;CL 4 11 13;SAN BERNARDO;SAN BERNARDO
396;KR 11 3 25;SAN BERNARDO;SAN BERNARDO
397;CL 4 10 64;SAN BERNARDO;SAN BERNARDO
398;CL 5 12A 82;SAN BERNARDO;SAN BERNARDO
399;KR 11 5 22;SAN BERNARDO;SAN BERNARDO
400;CL 4 10A 16;SAN BERNARDO;SAN BERNARDO
401;KR 12A 5 51;SAN BERNARDO;SAN BERNARDO
402;CL 5 12A 30;SAN BERNARDO;SAN BERNARDO
403;KR 10A 3 53;SAN BERNARDO;SAN BERNARDO
404;CL 4 11B 35;SAN BERNARDO;SAN BERNARDO
405;CL 4 10 62;SAN BERNARDO;SAN BERNARDO
406;CL 5 10 77;SAN BERNARDO;SAN BERNARDO
407;CL 3A 10 62 IN 201 AP 201;SAN BERNARDO;SAN BERNARDO
408;KR 12 4 02;SAN BERNARDO;SAN BERNARDO
409;CL 4A 11A 78;SAN BERNARDO;SAN BERNARDO
410;KR 10A 3 31;SAN BERNARDO;SAN BERNARDO
411;KR 11 4 57;SAN BERNARDO;SAN BERNARDO
412;KR 12 4A 18;SAN BERNARDO;SAN BERNARDO
413;KR 11A 4A 59;SAN BERNARDO;SAN BERNARDO
414;KR 11 3 67;SAN BERNARDO;SAN BERNARDO
415;KR 11A 4A 13;SAN BERNARDO;SAN BERNARDO
416;CL 4 11B 19;SAN BERNARDO;SAN BERNARDO
417;CL 4 11B 15;SAN BERNARDO;SAN BERNARDO
418;KR 11B 3 71;SAN BERNARDO;SAN BERNARDO
419;KR 12 3 46;SAN BERNARDO;SAN BERNARDO
420;KR 12A 5 02;SAN BERNARDO;SAN BERNARDO
421;CL 4 11A 45;SAN BERNARDO;SAN BERNARDO
422;CL 4 11A 27;SAN BERNARDO;SAN BERNARDO
423;KR 12 3 62 AP 102;SAN BERNARDO;SAN BERNARDO
424;CL 3 11 18;SAN BERNARDO;SAN BERNARDO
425;KR 12 3 62 AP 201;SAN BERNARDO;SAN BERNARDO
426;CL 4 10 63;SAN BERNARDO;SAN BERNARDO
427;KR 10A 3 04;SAN BERNARDO;SAN BERNARDO
428;KR 11 5 40;SAN BERNARDO;SAN BERNARDO
429;KR 11 4 43;SAN BERNARDO;SAN BERNARDO
430;KR 12 5 09;SAN BERNARDO;SAN BERNARDO
431;KR 11A 3 80;SAN BERNARDO;SAN BERNARDO
432;CL 4A 11A 61;SAN BERNARDO;SAN BERNARDO
433;CL 5 10 67;SAN BERNARDO;SAN BERNARDO
434;CL 6 12A 63;SAN BERNARDO;SAN BERNARDO
435;KR 11 4 80;SAN BERNARDO;SAN BERNARDO
436;CL 4A 11A 79;SAN BERNARDO;SAN BERNARDO
437;CL 5 10A 12;SAN BERNARDO;SAN BERNARDO
438;CL 3A 10 70;SAN BERNARDO;SAN BERNARDO
439;CL 5 11A 15;SAN BERNARDO;SAN BERNARDO
440;KR 11 3 43;SAN BERNARDO;SAN BERNARDO
441;KR 11 4 93;SAN BERNARDO;SAN BERNARDO
442;KR 11 4 24;SAN BERNARDO;SAN BERNARDO
443;KR 10A 5 17;SAN BERNARDO;SAN BERNARDO
444;KR 11A 3 21;SAN BERNARDO;SAN BERNARDO
445;KR 11 4 29;SAN BERNARDO;SAN BERNARDO
446;KR 11 4 05;SAN BERNARDO;SAN BERNARDO
447;CL 5 12A 22;SAN BERNARDO;SAN BERNARDO
448;KR 14 5 58;SAN BERNARDO;SAN BERNARDO
449;KR 12 5 23;SAN BERNARDO;SAN BERNARDO
450;KR 12 4A 30;SAN BERNARDO;SAN BERNARDO
451;KR 14 5 48;SAN BERNARDO;SAN BERNARDO
452;KR 11 5 56;SAN BERNARDO;SAN BERNARDO
453;CL 5 10 47 IN 7;SAN BERNARDO;SAN BERNARDO
454;CL 5 10 57;SAN BERNARDO;SAN BERNARDO
455;CL 4 11A 10 MJ;SAN BERNARDO;SAN BERNARDO
456;CL 5 10 47 IN 5;SAN BERNARDO;SAN BERNARDO
457;CL 5 10 47 IN 1 0;SAN BERNARDO;SAN BERNARDO
458;CL 5 10 47 IN 9 0;SAN BERNARDO;SAN BERNARDO
459;CL 3A 10 51;SAN BERNARDO;SAN BERNARDO
460;KR 10A 5 53;SAN BERNARDO;SAN BERNARDO
461;CL 3 10 54;SAN BERNARDO;SAN BERNARDO
462;CL 5 10 47 IN 13;SAN BERNARDO;SAN BERNARDO
463;KR 5A E 18 84 S;SAN BLAS;SAN BLAS
464;CL 9 SUR 3 09 ESTE;SOCIEGO;
465;KR 79 BIS A 73D 20 SUR;SANTA CECILIA - BOSA;BOSA
466;CL 9 12 56;SAN VICTORINO;SAN VICTORINO
467;CL 9 11 38;SAN VICTORINO;SAN VICTORINO
468;CL 9 11 22;SAN VICTORINO;SAN VICTORINO
469;CL 9 11 48;SAN VICTORINO;SAN VICTORINO
470;KR 11 9 57;SAN VICTORINO;SAN VICTORINO
471;KR 13 9 70;SAN VICTORINO;SAN VICTORINO
472;EL UVAL EL RESVALON;USME 3;USME
473;EL COMETA PTE EL UVAL;USME 3;USME
474;LA ALCANCIA;USME 3;USME
475;LA ESPERANZA;USME 3;USME
476;KR 6H ESTE 114A 63 SUR;USME 3;USME
477;EL BALCON EL UVAL;USME 3;USME
478;LA ESCUELA EL UVAL;USME 3;USME
479;USME;TRES QUEBRADAS UG_1;TRES QUEBRADAS
480;UGI 1 - LOTE 2;TRES QUEBRADAS UG_1;TRES QUEBRADAS
481;UGI 1- LOTE 1;TRES QUEBRADAS UG_1;TRES QUEBRADAS
482;UGI 1 - LOTE 2;TRES QUEBRADAS UG_1;TRES QUEBRADAS
483;UGI 1 PARQUE;TRES QUEBRADAS UG_1;TRES QUEBRADAS
484;CL 14 114A 56 SUR;TRES QUEBRADAS UG_1;TRES QUEBRADAS
485;UGI 1 - LOTE 3;TRES QUEBRADAS UG_1;TRES QUEBRADAS
486;KR 5 ESTE 110 11 SUR;TRES QUEBRADAS UG_2;TRES QUEBRADAS
487;AGUALINDA QUEBRADAS;TRES QUEBRADAS UG_9;TRES QUEBRADAS
488;TV 4D ESTE 99 20 SUR;USME 2 - IDIPRON;IDIPRON
489;TV 4G BIS ESTE 100B 11 SUR E;USME 2 - IDIPRON;IDIPRON
490;CL 9 15A 70;VOTO NACIONAL;VOTO NACIONAL
491;CL 9 11-40;SAN VICTORINO;SAN VICTORINO
492;CL 24 A 13 A 65;ESTACIÓN CENTRAL;ESTACION CENTRAL
493;CL 24 13 A 42;ESTACIÓN CENTRAL;ESTACION CENTRAL
494;KR 20A 26 68;EDUARDO UMAÑA;UMANA
495;CL 27 19B 49 IN1;EDUARDO UMAÑA;UMANA
496;KR 13 9 04;SAN VICTORINO;SAN VICTORINO
497;KR 12A 9 81;SAN VICTORINO;SAN VICTORINO
498;DG 9 BIS 12A 71;SAN VICTORINO;SAN VICTORINO
499;CL 42 SUR 14 75 ESTE;C.A.S.C. - VIVIENDA - AOP5;AOP5
500;CL 4 SUR 2A 66 ESTE;AREA DE OPORTUNIDAC BUENOS AIRES;BUENOS AIRES
501;CL 4 SUR 2A 60 ESTE;AREA DE OPORTUNIDAC BUENOS AIRES;BUENOS AIRES
502;CL 4 SUR 2A 74 ESTE;AREA DE OPORTUNIDAC BUENOS AIRES;BUENOS AIRES
