N.;Folio;Chip;Direccion;Proyecto
65;50C00325639;AAA0029HUJH;CL 24A 13A 17 AP 301;ESTACIÓN CENTRAL
66;50C00325640;AAA0029HUKL;CL 24A 13A 17 AP 302;ESTACIÓN CENTRAL
67;50C01019078;AAA0029HOLW;KR 13A 25 09 AP 401;ESTACIÓN CENTRAL
68;50C00197554;AAA0029HOXR;CL 24A 13A 14 AP 301;ESTACIÓN CENTRAL
69;50C00171093;AAA0029HOWF;CL 24A 13A 14 AP 202;ESTACIÓN CENTRAL
70;50C00452976;AAA0029HPBS;CL 24A 13A 14 AP 501;ESTACIÓN CENTRAL
71;50C00235239;AAA0029HSXR;AK 14 24 10 LC 2;ESTACIÓN CENTRAL
72;50C00388056;AAA0029HSNN;CL 24 13A 52;ESTACIÓN CENTRAL
73;50C00235242;AAA0029HTAW;AK 14 24 06 AP 202;ESTACIÓN CENTRAL
74;50C00385526;AAA0029HUTO;CL 24A 13A 07 AP 302;ESTACIÓN CENTRAL
75;50C00235233;AAA0029HTCN;AK 14 24 06 AP 302;ESTACIÓN CENTRAL
76;50C00385523;AAA0029HUPP;CL 24A 13A 07 AP 201;ESTACIÓN CENTRAL
77;50C00106428;AAA0029HMAF;AK 14 24B 06;ESTACIÓN CENTRAL
78;50C00197553;AAA0029HOYX;CL 24A 13A 14 AP 302;ESTACIÓN CENTRAL
79;50C00256964;AAA0029HSOE;CL 24 13A 54;ESTACIÓN CENTRAL
80;50C00385522;AAA0029HUOE;CL 24A 13A 07 AP 102;ESTACIÓN CENTRAL
81;50C00501306;AAA0029HRZE;CL 24 13A 16;ESTACIÓN CENTRAL
82;50C00003268;AAA0029HPCN;CL 24A 13A 14 AP 502;ESTACIÓN CENTRAL
83;50C00385527;AAA0029HUUZ;CL 24A 13A 07 AP 401;ESTACIÓN CENTRAL
84;50C01019074;AAA0029HOHY;KR 13A 25 09 LC 2;ESTACIÓN CENTRAL
85;50C00235243;AAA0029HTBS;AK 14 24 06 AP 301;ESTACIÓN CENTRAL
86;50C01019073;AAA0029HOEA;KR 13A 25 09 LC 1;ESTACIÓN CENTRAL
87;50C01019075;AAA0029HOFT;KR 13A 25 09 AP 101;ESTACIÓN CENTRAL
88;50C00350379;AAA0029HRMR;CL 24B 13A 43;ESTACIÓN CENTRAL
89;50C00142387;AAA0029HLZE;CL 24B 13A 36;ESTACIÓN CENTRAL
90;50C00721716;AAA0029HUAF;CL 24A 13A 41 AP 202;ESTACIÓN CENTRAL
91;50C00063424;AAA0029HLYN;CL 24B 13A 26;ESTACIÓN CENTRAL
92;50C00354164;AAA0029HRFZ;CL 24B 13A 77;ESTACIÓN CENTRAL
93;50C00425393;AAA0029HPJZ;CL 24A 13A 66;ESTACIÓN CENTRAL
94;50C00326552;AAA0029HPMR;CL 24A 13A 82;ESTACIÓN CENTRAL
95;50C01335888;AAA0029HOOE;CL 24B 13A 22;ESTACIÓN CENTRAL
96;50C00235755;AAA0029HOSK;CL 24A 13A 14 LC;ESTACIÓN CENTRAL
97;50C00137475;AAA0029HREP;CL 24B 13A 83;ESTACIÓN CENTRAL
98;50C00325635;AAA0029HUDM;CL 24A 13A 17 AP 101;ESTACIÓN CENTRAL
99;50C00027272;AAA0029HRKC;CL 24B 13A 63;ESTACIÓN CENTRAL
100;50C00721718;AAA0029HUCX;CL 24A 13A 41 AP 302;ESTACIÓN CENTRAL
101;50C00500991;AAA0029HRLF;CL 24B 13A 51;ESTACIÓN CENTRAL
102;50C00721715;AAA0029HTZE;CL 24A 13A 41 AP 201;ESTACIÓN CENTRAL
103;50C01335887;AAA0029HLWW;CL 24B 13A 18;ESTACIÓN CENTRAL
104;50C00325642;AAA0029HUMS;CL 24A 13A 17 AP 402;ESTACIÓN CENTRAL
105;50C00083368;AAA0029HORU;CL 24A 13A 04;ESTACIÓN CENTRAL
106;50C00235240;AAA0029HSYX;AK 14 24 02 LC 3;ESTACIÓN CENTRAL
107;50C00235234;AAA0029HTDE;AK 14 24 06 AP 401;ESTACIÓN CENTRAL
108;50C00235235;AAA0029HTEP;AK 14 24 06 AP 402;ESTACIÓN CENTRAL
109;50C00235236;AAA0029HTFZ;AK 14 24 06 AP 501;ESTACIÓN CENTRAL
110;50C00235237;AAA0029HTHK;AK 14 24 06 AP 502;ESTACIÓN CENTRAL
111;50C01019077;AAA0029HOKL;KR 13A 25 09 AP 301;ESTACIÓN CENTRAL
112;50C00003531;AAA0029HSPP;CL 24 13A 58;ESTACIÓN CENTRAL
113;50C00721713;AAA0029HTXS;CL 24A 13A 41 AP 101;ESTACIÓN CENTRAL
114;50C00721717;AAA0029HUBR;CL 24A 13A 41 AP 301;ESTACIÓN CENTRAL
115;50C00325641;AAA0029HULW;CL 24A 13A 17 AP 401;ESTACIÓN CENTRAL
116;50C00529455;AAA0029HSSK;CL 24 13A 72;ESTACIÓN CENTRAL
117;50C00385524;AAA0029HURU;CL 24A 13A 07 AP 202;ESTACIÓN CENTRAL
118;50C00385525;AAA0029HUSK;CL 24A 13A 07 AP 301;ESTACIÓN CENTRAL
119;50C00385528;AAA0029HUWF;CL 24A 13A 07 AP 402;ESTACIÓN CENTRAL
120;50C00072611;AAA0029HUYX;KR 13A 24 37 LC 2;ESTACIÓN CENTRAL
121;50C00072614;AAA0029HWAF;KR 13A 24 27 AP 301;ESTACIÓN CENTRAL
122;50C00072613;AAA0029HWBR;KR 13A 24 27 AP 401;ESTACIÓN CENTRAL
123;50C01451859;AAA0029HWCX;KR 13A 24 27 AP 501;ESTACIÓN CENTRAL
124;50C01019076;AAA0029HOJH;KR 13A 25 09 AP 201;ESTACIÓN CENTRAL
125;50C00035671;AAA0029HOTO;CL 24A 13A 14 AP 101;ESTACIÓN CENTRAL
126;50C00551217;AAA0029HLUH;CL 24B 13A 16;ESTACIÓN CENTRAL
127;50C00592276;AAA0029HLTD;CL 24B 13A 06;ESTACIÓN CENTRAL
128;50C00154015;AAA0029HONN;KR 13A 24B 05;ESTACIÓN CENTRAL
129;50C01244109;AAA0029HOMS;KR 13A 24B 17;ESTACIÓN CENTRAL
130;50C00170035;AAA0029HOCX;KR 13A 25 13;ESTACIÓN CENTRAL
131;50C00307286;AAA0029HRHK;CL 24B 13A 71;ESTACIÓN CENTRAL
132;50C00742343;AAA0029HRJZ;CL 24B 13A 65;ESTACIÓN CENTRAL
133;50C01934171;AAA0248LCWW;RESERVA VIAL INTERSECCIÓN AVENIDA CHILE CON AV COLOMBIA.;LA ESTACIÓN
134;50C00483943;AAA0086PHFT;KR 23 72 01-AREA RESTANTE PREDIO LA ESTACION;LA ESTACIÓN
135;50C01934172;AAA0248LCXS;RESERVA PAR VIAL CRA 23;LA ESTACIÓN
136;50C01930023;AAA0246KSFT;KR 32 19B 10 IN 5 LC 3;LA HOJA
137;50C01930028;AAA0246KSMS;KR 32 19B 10 IN 12 LC 8;LA HOJA
138;50C01930021;AAA0246KSDM;KR 32 19B 10 IN 8 LC 1;LA HOJA
139;50C01930490;AAA0246KSSK;KR 32 19B 10 IN II LC 13;LA HOJA
140;50C01930025;AAA0246KSJH;KR 32 19B 10 IN 2 LC 5;LA HOJA
141;50C01930029;AAA0246KSNN;KR 32 19B 10 IN 11 LC 9;LA HOJA
142;50C01930031;AAA0246KSPP;KR 32 19B 10 IN 11 LC 11;LA HOJA
143;50C01930032;AAA0246KSRU;KR 32 19B 10 IN 11 LC 12;LA HOJA
144;50C01930030;AAA0246KSOE;KR 32 19B 10 IN 11 LC 10;LA HOJA
145;50C01930026;AAA0246KSKL;KR 32 19B 10 IN 1 LC 6;LA HOJA
146;50C01930024;AAA0246KSHY;KR 32 19B 10 IN 3 LC 4;LA HOJA
