N.;Folio;Chip;Direccion;Proyecto
325;50C00213528;AAA0032TUOE;CL 4 10A 13;SAN BERNARDO
326;50C00456340;AAA0032TXUH;CL 3 10 78;SAN BERNARDO
327;50C00793362;AAA0032TYDM;CL 3A 10 63;SAN BERNARDO
328;50C01809776;AAA0229NAMS;CL 3 10 72;SAN BERNARDO
329;50C01499510;AAA0032PWRU;CL 5 12A 10;SAN BERNARDO
330;50C00355343;AAA0032PWUZ;CL 5 12A 38;SAN BERNARDO
331;50C01166122;AAA0032SSTD;CL 4 11B 45;SAN BERNARDO
332;50C00433769;AAA0032PXLF;KR 12A 5 47;SAN BERNARDO
333;50C01311896;AAA0032TOJH;KR 10A 5 39;SAN BERNARDO
334;50C00301123;AAA0032SWUH;KR 11B 3 72;SAN BERNARDO
335;50C00150196;AAA0032SWSY;KR 11B 3 58;SAN BERNARDO
336;50C01368757;AAA0032SXJH;KR 11A 3 59;SAN BERNARDO
337;50C00282154;AAA0032SRTO;KR 11 4 71;SAN BERNARDO
338;50C00563889;AAA0032SBCX;CL 5 12 44;SAN BERNARDO
339;50C00015900;AAA0032SXLW;KR 11A 3 47;SAN BERNARDO
340;50C00309153;AAA0032SXMS;KR 11A 3 37;SAN BERNARDO
341;50C00939699;AAA0032THEP;KR 11 3 07;SAN BERNARDO
342;50C01212234;AAA0032TRYN;KR 11 4 28;SAN BERNARDO
343;50C00164691;AAA0032SSRJ;KR 12 3 74;SAN BERNARDO
344;50C00891013;AAA0032TFBS;KR 11A 3 34;SAN BERNARDO
345;50C00323814;AAA0032TEXR;CL 3 11 36;SAN BERNARDO
346;50C00300230;AAA0032TETO;KR 11 3 05;SAN BERNARDO
347;50C00140965;AAA0032PXAW;CL 5 12A 88;SAN BERNARDO
348;50C00478262;AAA0032PXMR;KR 12A 5 41;SAN BERNARDO
349;50C00049383;AAA0032TEYX;KR 11A 3 12;SAN BERNARDO
350;50C00320495;AAA0032TPHK;KR 11 5 64;SAN BERNARDO
351;50C00391081;AAA0032TRPA;CL 4 10 72;SAN BERNARDO
352;50C01065436;AAA0032SRBR;KR 11A 4A 29;SAN BERNARDO
353;50C00529411;AAA0032TRZE;KR 11 4 50;SAN BERNARDO
354;50C01502647;AAA0218BYYX;CL 5 10 63;SAN BERNARDO
355;50C00124675;AAA0032TUCX;KR 11 3 24;SAN BERNARDO
356;50C01193643;AAA0032TFRJ;CL 4 11 05;SAN BERNARDO
357;50C00625387;AAA0032TUEA;KR 11 3 38;SAN BERNARDO
358;50C00396678;AAA0032TUFT;KR 11 3 46;SAN BERNARDO
359;50C00485293;AAA0032TURU;KR 10A 3A 37;SAN BERNARDO
360;50C00888071;AAA0032TWEA;CL 3A 10 62 CN 101;SAN BERNARDO
361;50C00500220;AAA0032TUYX;KR 10A 3 45;SAN BERNARDO
362;50C00658156;AAA0032PXOM;KR 12A 5 19;SAN BERNARDO
363;50C00396873;AAA0032SRCX;KR 11A 4A 23;SAN BERNARDO
364;50C00563454;AAA0032SOBS;CL 4 11 20;SAN BERNARDO
365;50C00215976;AAA0032SSWW;CL 4 11B 25;SAN BERNARDO
366;50C00196387;AAA0032TFDE;KR 11A 3 46;SAN BERNARDO
367;50C00256102;AAA0032TXZE;KR 10A 3 40;SAN BERNARDO
368;50C01647696;AAA0032STAF;CL 4 11B 03;SAN BERNARDO
369;50C00470824;AAA0032TFMR;CL 4 11 39;SAN BERNARDO
370;50C00370930;AAA0032SRHY;KR 11A 4A 10;SAN BERNARDO
371;50C00797277;AAA0032TSJH;CL 5 10A 35;SAN BERNARDO
372;50C00459727;AAA0032SSZE;CL 4 11B 05;SAN BERNARDO
373;50C01232860;AAA0032SOTD;KR 12 4 24;SAN BERNARDO
374;50C01272226;AAA0032TOZM;CL 5 10A 38;SAN BERNARDO
375;50C00867992;AAA0032SWWW;KR 11B 3 78;SAN BERNARDO
376;50C00282654;AAA0032PWYX;CL 5 12A 76;SAN BERNARDO
377;50C00289825;AAA0032SXAF;CL 4 11A 33;SAN BERNARDO
378;50C00275657;AAA0032SXFT;KR 11A 3 79;SAN BERNARDO
379;50C00165188;AAA0032TFAW;KR 11A 3 26;SAN BERNARDO
380;50C00294810;AAA0032SXHY;KR 11A 3 69;SAN BERNARDO
381;50C00004663;AAA0032TXYN;KR 10A 3 22;SAN BERNARDO
382;50C00889949;AAA0032TWJH;CL 3A 10 62 AP 201;SAN BERNARDO
383;50C00080946;AAA0032THBS;KR 11 3 35;SAN BERNARDO
384;50C00052663;AAA0032SSDE;CL 3 11B 10;SAN BERNARDO
385;50C01332288;AAA0032STBR;KR 11B 3 93;SAN BERNARDO
386;50C00229668;AAA0032STPP;KR 11B 3 17;SAN BERNARDO
387;50C01424440;AAA0032SWHK;CL 3 11A 08;SAN BERNARDO
388;50C00573019;AAA0032SRFT;KR 11A 4A 07;SAN BERNARDO
389;50C00925913;AAA0032SWRJ;KR 11B 3 48;SAN BERNARDO
390;50C00494986;AAA0032TUHY;KR 11 3 52;SAN BERNARDO
391;50C01499304;AAA0032SBBR;CL 5 12 40;SAN BERNARDO
392;50C00411197;AAA0032TFLF;KR 11A 3 94;SAN BERNARDO
393;50C01241333;AAA0032TFYN;KR 11 3 59;SAN BERNARDO
394;50C00322989;AAA0032SWLF;CL 3 11A 28;SAN BERNARDO
395;50C01229785;AAA0032TFPA;CL 4 11 13;SAN BERNARDO
396;50C00060027;AAA0032THCN;KR 11 3 25;SAN BERNARDO
397;50C01330866;AAA0032TROM;CL 4 10 64;SAN BERNARDO
398;50C00322923;AAA0032PWZM;CL 5 12A 82;SAN BERNARDO
399;50C00442660;AAA0032TPCN;KR 11 5 22;SAN BERNARDO
400;50C00480748;AAA0032TRTD;CL 4 10A 16;SAN BERNARDO
401;50C00502438;AAA0032PXKC;KR 12A 5 51;SAN BERNARDO
402;50C00500568;AAA0032PWTO;CL 5 12A 30;SAN BERNARDO
403;50C00777083;AAA0032TUXR;KR 10A 3 53;SAN BERNARDO
404;50C00126657;AAA0032SSUH;CL 4 11B 35;SAN BERNARDO
405;50C00065594;AAA0032TRNX;CL 4 10 62;SAN BERNARDO
406;50C01677561;AAA0202ZHSK;CL 5 10 77;SAN BERNARDO
407;50C00889950;AAA0032TWKL;CL 3A 10 62 IN 201 AP 201;SAN BERNARDO
408;50C00199894;AAA0032SOPA;KR 12 4 02;SAN BERNARDO
409;50C00349403;AAA0032SPHY;CL 4A 11A 78;SAN BERNARDO
410;50C00062035;AAA0032TUZM;KR 10A 3 31;SAN BERNARDO
411;50C00761354;AAA0032SRUZ;KR 11 4 57;SAN BERNARDO
412;50C00790589;AAA0032SPLW;KR 12 4A 18;SAN BERNARDO
413;50C00106564;AAA0032SPXR;KR 11A 4A 59;SAN BERNARDO
414;50C00352209;AAA0032TFXS;KR 11 3 67;SAN BERNARDO
415;50C00450604;AAA0032SREA;KR 11A 4A 13;SAN BERNARDO
416;50C00501532;AAA0032SSXS;CL 4 11B 19;SAN BERNARDO
417;50C00634479;AAA0032SSYN;CL 4 11B 15;SAN BERNARDO
418;50C01238555;AAA0032STEA;KR 11B 3 71;SAN BERNARDO
419;50C01818834;AAA0228NESY;KR 12 3 46;SAN BERNARDO
420;50C00015143;AAA0032SBFT;KR 12A 5 02;SAN BERNARDO
421;50C00865314;AAA0032SWYN;CL 4 11A 45;SAN BERNARDO
422;50C01176627;AAA0032SXBR;CL 4 11A 27;SAN BERNARDO
423;50C01377572;AAA0032SSJZ;KR 12 3 62 AP 102;SAN BERNARDO
424;50C00568018;AAA0032TEUZ;CL 3 11 18;SAN BERNARDO
425;50C01377574;AAA0032SSLF;KR 12 3 62 AP 201;SAN BERNARDO
426;50C00036859;AAA0032TWTO;CL 4 10 63;SAN BERNARDO
427;50C00172234;AAA0032TXWW;KR 10A 3 04;SAN BERNARDO
428;50C00106947;AAA0032TPEP;KR 11 5 40;SAN BERNARDO
429;50C00836311;AAA0032SRYX;KR 11 4 43;SAN BERNARDO
430;50C00234218;AAA0032SBMS;KR 12 5 09;SAN BERNARDO
431;50C00298782;AAA0032TFJZ;KR 11A 3 80;SAN BERNARDO
432;50C00293033;AAA0032SOYN;CL 4A 11A 61;SAN BERNARDO
433;50C01502648;AAA0218BYZM;CL 5 10 67;SAN BERNARDO
434;50C00372816;AAA0032PXFZ;CL 6 12A 63;SAN BERNARDO
435;50C01434136;AAA0032TSCX;KR 11 4 80;SAN BERNARDO
436;50C01500445;AAA0032SOWW;CL 4A 11A 79;SAN BERNARDO
437;50C01431984;AAA0032TORU;CL 5 10A 12;SAN BERNARDO
438;50C00138179;AAA0032TWMS;CL 3A 10 70;SAN BERNARDO
439;50C00013357;AAA0032SPWF;CL 5 11A 15;SAN BERNARDO
440;50C01268006;AAA0032THAW;KR 11 3 43;SAN BERNARDO
441;50C01275397;AAA0032SRPP;KR 11 4 93;SAN BERNARDO
442;50C00085186;AAA0032TRXS;KR 11 4 24;SAN BERNARDO
443;50C00157002;AAA0032TONN;KR 10A 5 17;SAN BERNARDO
444;50C00172030;AAA0032SXOE;KR 11A 3 21;SAN BERNARDO
445;50C00501116;AAA0032SSAW;KR 11 4 29;SAN BERNARDO
446;50C01292963;AAA0032SNYX;KR 11 4 05;SAN BERNARDO
447;50C00561064;AAA0032PWSK;CL 5 12A 22;SAN BERNARDO
448;50C00530531;AAA0032PXEP;KR 14 5 58;SAN BERNARDO
449;50C00199550;AAA0032SBLW;KR 12 5 23;SAN BERNARDO
450;50C00063910;AAA0032SPNN;KR 12 4A 30;SAN BERNARDO
451;50C00226460;AAA0032PXDE;KR 14 5 48;SAN BERNARDO
452;50C00501671;AAA0032TPFZ;KR 11 5 56;SAN BERNARDO
453;50C00024154;AAA0032TSUZ;CL 5 10 47 IN 7;SAN BERNARDO
454;50C00145013;AAA0032TSRU;CL 5 10 57;SAN BERNARDO
455;50C00275776;AAA0032SOFZ;CL 4 11A 10 MJ;SAN BERNARDO
456;50C00307903;AAA0204DEZE;CL 5 10 47 IN 5;SAN BERNARDO
457;50C00320089;AAA0032TSTO;CL 5 10 47 IN 1 0;SAN BERNARDO
458;50C00360322;AAA0032TSWF;CL 5 10 47 IN 9 0;SAN BERNARDO
459;50C00481722;AAA0032TYEA;CL 3A 10 51;SAN BERNARDO
460;50C00828431;AAA0032TOHY;KR 10A 5 53;SAN BERNARDO
461;50C01253939;AAA0032TXPA;CL 3 10 54;SAN BERNARDO
462;50C01263494;AAA0032TSYX;CL 5 10 47 IN 13;SAN BERNARDO
463;50S00298191;AAA0000SJPA;KR 5A E 18 84 S;SAN BLAS
464;50C01053181;AAA0033PRRU;CL 9 SUR 3 09 ESTE;SOCIEGO
465;50S40109227;AAA0140DCJH;KR 79 BIS A 73D 20 SUR;SANTA CECILIA - BOSA
466;50C01934285;AAA0249BNUH;CL 9 12 56;SAN VICTORINO
467;50C00331319;AAA0223TJFZ;CL 9 11 38;SAN VICTORINO
468;50C01113780;AAA0030RHXS;CL 9 11 22;SAN VICTORINO
469;50C00182695;AAA0030RJDE;CL 9 11 48;SAN VICTORINO
470;50C01934237;AAA0249DFKC;KR 11 9 57;SAN VICTORINO
471;50C01884819;AAA0242OPHK;KR 13 9 70;SAN VICTORINO
472;50S40402358;AAA0186RBPA;EL UVAL EL RESVALON;USME 3
473;50S00462643;AAA0143NTZM;EL COMETA PTE EL UVAL;USME 3
474;50S00655231;AAA0143MYBR;LA ALCANCIA;USME 3
475;50S40054667;AAA0156LOYN;LA ESPERANZA;USME 3
476;50S00953908;AAA0146WYNX;KR 6H ESTE 114A 63 SUR;USME 3
477;50S00814949;AAA0142XXMR;EL BALCON EL UVAL;USME 3
478;50S00462639;AAA0143FDTO;LA ESCUELA EL UVAL;USME 3
479;50S40756153;AAA0269RLKC;USME;TRES QUEBRADAS UG_1
480;50S40756151;AAA0269RLFZ;UGI 1 - LOTE 2;TRES QUEBRADAS UG_1
481;50S40756150;AAA0269RLHK;UGI 1- LOTE 1;TRES QUEBRADAS UG_1
482;50S40716312;AAA0257ELYN;UGI 1 - LOTE 2;TRES QUEBRADAS UG_1
483;50S40756154;AAA0269RLJZ;UGI 1 PARQUE;TRES QUEBRADAS UG_1
484;50S40682185;AAA0246UXHK;CL 14 114A 56 SUR;TRES QUEBRADAS UG_1
485;50S40756152;AAA0269RLEP;UGI 1 - LOTE 3;TRES QUEBRADAS UG_1
486;50S40764276;AAA0291NCCN;KR 5 ESTE 110 11 SUR;TRES QUEBRADAS UG_2
487;50S01002542;AAA0143NTDM;AGUALINDA QUEBRADAS;TRES QUEBRADAS UG_9
488;50S00837577;AAA0145FXDM;TV 4D ESTE 99 20 SUR;USME 2 - IDIPRON
489;50S40409721;AAA0145FXEA;TV 4G BIS ESTE 100B 11 SUR E;USME 2 - IDIPRON
490;50C00238796;AAA0291BWJZ;CL 9 15A 70;VOTO NACIONAL
491;50C01390100;AA0233ZECN;CL 9 11-40;SAN VICTORINO
492;50C00241663;;CL 24 A 13 A 65;ESTACIÓN CENTRAL
493;50C00458635;;CL 24 13 A 42;ESTACIÓN CENTRAL
494;50C00488870;AAA0083NAPP;KR 20A 26 68;EDUARDO UMAÑA
495;50C01713051;AAA0083NARU;CL 27 19B 49 IN1;EDUARDO UMAÑA
496;50C01884820;AAA0242OPJZ;KR 13 9 04;SAN VICTORINO
497;50C01884821;AAA0242OPFZ;KR 12A 9 81;SAN VICTORINO
498;50C01884822 ;AAA0242OPKC;DG 9 BIS 12A 71;SAN VICTORINO
499;50S00468091;AAA0004DWJZ;CL 42 SUR 14 75 ESTE;C.A.S.C. - VIVIENDA - AOP5
500;50S40643527;AAA0264RTRU;CL 4 SUR 2A 66 ESTE;AREA DE OPORTUNIDAC BUENOS AIRES
501;50S00870014;AAA0000HBLW;CL 4 SUR 2A 60 ESTE;AREA DE OPORTUNIDAC BUENOS AIRES
502;50S00616000;AAA0000HBJH;CL 4 SUR 2A 74 ESTE;AREA DE OPORTUNIDAC BUENOS AIRES
